,geometry,top_tags,name,centroids,lon,lat,top_category
16,"POLYGON ((-122.3998048 37.7915853, -122.400706 37.7916005, -122.400719 37.79171, -122.4007373 37.7932893, -122.39903512128282 37.79358865337063, -122.39865371885844 37.79362657047094, -122.3979264 37.7922687, -122.3981844 37.7920681, -122.3986223 37.7917704, -122.3998048 37.7915853))","restaurant, bank, fast food, wheelchair, sandwich",Cluster # 16: California Street,POINT (-122.39947989195765 37.79255588084501),-122.39947989195765,37.79255588084501,restaurant
17,"POLYGON ((-122.414392 37.752357, -122.4164736 37.7524748, -122.41680210091472 37.754095670387755, -122.4162892 37.7541211, -122.414423 37.7542, -122.4125638 37.7524811, -122.414289 37.7523636, -122.414392 37.752357))","restaurant, wheelchair, outdoor seating, cafe, indoor seating",Cluster # 17: 24th Street,POINT (-122.414982143825 37.75321496421054),-122.414982143825,37.75321496421054,restaurant
18,"POLYGON ((-122.4499907 37.7651552, -122.450431 37.7658765, -122.4502523 37.7664554, -122.446583 37.7670957, -122.4499907 37.7651552))","restaurant, outdoor seating, diet:vegetarian, cafe, wheelchair",Cluster # 18: Cole Street,POINT (-122.4490344951324 37.766206127183274),-122.4490344951324,37.766206127183274,restaurant
19,"POLYGON ((-122.4116459 37.7852098, -122.413235 37.7863082, -122.4135614 37.7868113, -122.413233286299 37.7873067502379, -122.4110257 37.7871576, -122.4105952523225 37.786785073519084, -122.4103714 37.7862658, -122.4103397 37.7859734, -122.4109326 37.7853003, -122.4116459 37.7852098))","restaurant, bar, fast food, wheelchair, diet:halal",Cluster # 19: Geary Street,POINT (-122.4118352532474 37.78636790709135),-122.4118352532474,37.78636790709135,restaurant
20,"POLYGON ((-122.4091341 37.7986494, -122.4097652 37.7995333, -122.4095795 37.8000523, -122.4088891 37.8006099, -122.4083219 37.7997071, -122.4083676 37.7991718, -122.4084266 37.7989141, -122.4091341 37.7986494))","restaurant, cafe, bank, italian, outdoor seating",Cluster # 20: ['Green Street' 'Stockton Street'],POINT (-122.4089957509016 37.799575056634346),-122.4089957509016,37.799575056634346,restaurant
21,"POLYGON ((-122.403121 37.7268295, -122.4035601 37.7271499, -122.4039937 37.7278009, -122.4046584 37.7295082, -122.4043715 37.7297632, -122.4037642 37.7290443, -122.403121 37.7268295))","restaurant, asian, cafe, chinese, fast food",Cluster # 21: San Bruno Avenue,POINT (-122.40390473461306 37.728403592392084),-122.40390473461306,37.728403592392084,restaurant
22,"POLYGON ((-122.4805949 37.7211801, -122.478484 37.7224511, -122.4757008 37.7221699, -122.475618 37.7215808, -122.4805949 37.7211801))","wheelchair, sandwich, cafe, fast food, library",Cluster # 22: Holloway Avenue,POINT (-122.47786071887832 37.721812483206485),-122.47786071887832,37.721812483206485,wheelchair
23,"POLYGON ((-122.49705037699722 37.77154359093123, -122.5025176 37.7756224, -122.4971747 37.7758584, -122.4958034 37.7759106, -122.49705037699722 37.77154359093123))","restaurant, cafe, japanese, chinese, wheelchair",Cluster # 23: Balboa Street,POINT (-122.4984571895673 37.7743610814394),-122.4984571895673,37.7743610814394,restaurant
24,"POLYGON ((-122.4156342 37.766838, -122.417522 37.7672525, -122.417625 37.768305, -122.4154592 37.7703099, -122.4151613289315 37.77007593512212, -122.4135732 37.7680622, -122.414971 37.7671519, -122.4156342 37.766838))","restaurant, wheelchair, outdoor seating, drink:sake, bicycle rental",Cluster # 24: Folsom Street,POINT (-122.41571463864456 37.768332161115495),-122.41571463864456,37.768332161115495,restaurant
25,"POLYGON ((-122.490803952232 37.740249300607154, -122.4937196 37.7424329, -122.48876428650881 37.74272314969141, -122.490803952232 37.740249300607154))","place of worship, restaurant, religion christian, pizza, coffee",Cluster # 25: Taraval Street,POINT (-122.49109594624694 37.741801783432855),-122.49109594624694,37.741801783432855,place of worship
26,"POLYGON ((-122.45830351128 37.79713517994337, -122.46187139102112 37.79929723059194, -122.4597643 37.7998115, -122.4583957 37.7998107, -122.4578062 37.7995569, -122.4572675 37.799233, -122.45830351128 37.79713517994337))","vending machine, place of worship, restaurant, theatre, drink:beer",Cluster # 26: Moraga Avenue,POINT (-122.4591946352032 37.79879425575291),-122.4591946352032,37.79879425575291,vending machine
27,"POLYGON ((-122.4104883 37.8098644, -122.410708 37.8101661, -122.4110358 37.8107503, -122.4108938 37.8109419, -122.4106295 37.8111327, -122.4103446 37.8112453, -122.4102453 37.8110757, -122.410214 37.8109492, -122.4101905 37.809866, -122.4104883 37.8098644))","restaurant, telephone, seafood, cafe, pizza",Cluster # 27: ['Pier 39' 'The Embarcadero'],POINT (-122.41052200576833 37.81056520733503),-122.41052200576833,37.81056520733503,restaurant
28,"POLYGON ((-122.3731784 37.8161579, -122.37222337229217 37.81812941603831, -122.3700539493729 37.819213537935624, -122.3664171 37.8187755, -122.3669384 37.8182381, -122.3731784 37.8161579))","bar, craft winery, pizza, restaurant, ferry terminal",Cluster # 28: California Avenue,POINT (-122.37010089310908 37.81796917354411),-122.37010089310908,37.81796917354411,bar
29,"POLYGON ((-122.45687609481705 37.722457540015924, -122.4569162 37.7235427, -122.4567727 37.7242174, -122.4528514 37.7253598, -122.45289082547932 37.72349654953314, -122.4529257 37.7229871, -122.45687609481705 37.722457540015924))","restaurant, wheelchair, cafe, outdoor seating, place of worship",Cluster # 29: Ocean Avenue,POINT (-122.45477574044037 37.72377043433089),-122.45477574044037,37.72377043433089,restaurant
30,"POLYGON ((-122.47859165027285 37.75623245968487, -122.4805271 37.7574305, -122.4775150545276 37.75812290121428, -122.47723670690979 37.75730027140509, -122.47859165027285 37.75623245968487))","religion christian, place of worship, denomination presbyterian, social facility, steak house",Cluster # 30: ['19th Avenue' '21st Avenue'],POINT (-122.47863447881431 37.757252318021905),-122.47863447881431,37.757252318021905,religion christian
31,"POLYGON ((-122.392833 37.7768703, -122.3934409 37.777164, -122.3948339 37.7790811, -122.3922179 37.7794954, -122.3915835 37.7795923, -122.3910462 37.7778936, -122.392833 37.7768703))","restaurant, fast food, bar, cafe, wheelchair",Cluster # 31: King Street,POINT (-122.39276020207927 37.77835348812562),-122.39276020207927,37.77835348812562,restaurant
32,"POLYGON ((-122.44095406925668 37.77218127173548, -122.44030295768307 37.77540427336859, -122.4377065 37.7752497, -122.43750508096917 37.77490434209007, -122.43737509999998 37.773869399999995, -122.438996 37.7730885, -122.44095406925668 37.77218127173548))","restaurant, fast food, wheelchair, place of worship, diet:vegan",Cluster # 32: Divisadero Street,POINT (-122.43924953084633 37.774079621532394),-122.43924953084633,37.774079621532394,restaurant
33,"POLYGON ((-122.406961 37.7692586, -122.4065166 37.771181, -122.403878 37.7724925, -122.4047286 37.7705055, -122.406961 37.7692586))","wheelchair, restaurant, coffee shop, cafe, bicycle rental",Cluster # 33: Brannan Street,POINT (-122.40552942694468 37.77088073652189),-122.40552942694468,37.77088073652189,wheelchair
34,"POLYGON ((-122.4199677 37.7876712, -122.421632 37.7881229, -122.4222054 37.7885809, -122.4222178 37.7886746, -122.4219738 37.7895876, -122.4203422 37.7895295, -122.4189316 37.7887634, -122.4183697 37.7881036, -122.4182189 37.7879028, -122.4199677 37.7876712))","restaurant, wheelchair, indoor seating, diet:vegetarian, cafe",Cluster # 34: Polk Street,POINT (-122.42041813406858 37.788610570805666),-122.42041813406858,37.788610570805666,restaurant
35,"POLYGON ((-122.4537214 37.7438412, -122.45291075209472 37.74669181495052, -122.45155336256363 37.74588201601288, -122.4526288 37.7446634, -122.45326090771562 37.74411621600859, -122.45346397455243 37.74396039239773, -122.4537214 37.7438412))","cafe, restaurant, fuel, bank, coffee shop",Cluster # 35: Portola Drive,POINT (-122.45272990312401 37.7453877911384),-122.45272990312401,37.7453877911384,cafe
36,"POLYGON ((-122.4028338 37.783939, -122.4033772 37.783972, -122.4041981 37.7841729, -122.4046707 37.7859208, -122.4045607 37.7860774, -122.4033118 37.7861858, -122.40238084033751 37.78498619981132, -122.4027076 37.7840581, -122.4028338 37.783939))","restaurant, diet:vegetarian, wheelchair, outdoor seating, vending machine",Cluster # 36: Yerba Buena Lane,POINT (-122.40354147965836 37.78506748959038),-122.40354147965836,37.78506748959038,restaurant
37,"POLYGON ((-122.4829701270666 37.7630659569033, -122.48310146241215 37.76306934920838, -122.4838514 37.7634964, -122.48273178831423 37.76352664400395, -122.4806711 37.7635358, -122.4801107 37.7632992, -122.4829701270666 37.7630659569033))","restaurant, cafe, chinese, wheelchair, bank",Cluster # 37: Irving Street,POINT (-122.48207996840549 37.76334300402634),-122.48207996840549,37.76334300402634,restaurant
38,"POLYGON ((-122.41830155132334 37.76012261559133, -122.4190503 37.7603764, -122.4200242 37.7616782, -122.4195993 37.7625173, -122.41671117675814 37.76338119928516, -122.4159719 37.7621654, -122.4171637 37.7602344, -122.41830155132334 37.76012261559133))","restaurant, religion christian, place of worship, outdoor seating, japanese",Cluster # 38: ['18th Street' 'Mission Street'],POINT (-122.41794712114596 37.76171507829096),-122.41794712114596,37.76171507829096,restaurant
39,"POLYGON ((-122.42899150033503 37.76580348533084, -122.4301116 37.7663733, -122.43052164816675 37.76670028775578, -122.43086531378991 37.76708934181296, -122.4293983204717 37.768600212043914, -122.4292618 37.7687313, -122.428442 37.768891, -122.428257 37.7688505, -122.4276500740727 37.768144779625096, -122.4286549 37.765944, -122.42899150033503 37.76580348533084))","restaurant, indoor seating, wheelchair, drink:beer, drink:wine",Cluster # 39: Market Street,POINT (-122.42913595323857 37.767391647688),-122.42913595323857,37.767391647688,restaurant
40,"POLYGON ((-122.4398341 37.785928, -122.44182477669551 37.787625504050496, -122.4406754 37.7895977, -122.44043947220754 37.789666221858056, -122.4371910463243 37.789925605559404, -122.43577118988033 37.78702191756252, -122.43650878498214 37.78644836548814, -122.4398341 37.785928))","religion christian, restaurant, place of worship, cafe, wheelchair",Cluster # 40: Divisadero Street,POINT (-122.43877578212718 37.787929200840836),-122.43877578212718,37.787929200840836,religion christian
41,"POLYGON ((-122.46851429454489 37.73815505966524, -122.4687635 37.7384662, -122.4693047 37.7397032, -122.4673069 37.7397088, -122.4670841 37.7394191, -122.46714404974455 37.73923878992475, -122.46851429454489 37.73815505966524))","restaurant, bank, cafe, bar, chinese",Cluster # 41: West Portal Avenue,POINT (-122.46823146530465 37.73914780258968),-122.46823146530465,37.73914780258968,restaurant
42,"POLYGON ((-122.4549056 37.7811626, -122.4555492 37.7812525, -122.4557101 37.7816176, -122.4538462 37.7819235, -122.4514217 37.7817711, -122.451844 37.7815425, -122.4549056 37.7811626))","cafe, restaurant, japanese, american, ice cream",Cluster # 42: Geary Boulevard,POINT (-122.45381714623483 37.781571118214885),-122.45381714623483,37.781571118214885,cafe
43,"POLYGON ((-122.4072394 37.7969543, -122.4082232 37.7975505, -122.4083824 37.7985013, -122.4070947 37.7985549, -122.4063692 37.7982178, -122.4067101 37.7977076, -122.4072394 37.7969543))","restaurant, italian, chinese, mexican, fast food",Cluster # 43: Broadway,POINT (-122.40744916012585 37.797906165604985),-122.40744916012585,37.797906165604985,restaurant
44,"POLYGON ((-122.45122993217338 37.70899000956034, -122.4527203 37.7090784, -122.4520431 37.712664, -122.44760042690255 37.710278265287535, -122.45122993217338 37.70899000956034))","restaurant, religion christian, place of worship, fuel, denomination baptist",Cluster # 44: Mission Street,POINT (-122.45075724497516 37.71053486087122),-122.45075724497516,37.71053486087122,restaurant
45,"POLYGON ((-122.42763894999999 37.75092730000001, -122.4308228 37.7513976, -122.4311708 37.7516023, -122.42943261977734 37.752836557509035, -122.4263735 37.7532761, -122.42763894999999 37.75092730000001))","restaurant, cafe, bank, french, religion christian",Cluster # 45: 24th Street,POINT (-122.42859399172237 37.75206259823885),-122.42859399172237,37.75206259823885,restaurant
46,"POLYGON ((-122.40825924455946 37.77922393512351, -122.40917655133399 37.78093394939221, -122.408065 37.782532, -122.4068715 37.7825352, -122.4065281 37.782479, -122.4052119 37.7814985, -122.4057007 37.7807517, -122.40825924455946 37.77922393512351))","restaurant, cafe, drink:beer, vietnamese, fast food",Cluster # 46: 6th Street,POINT (-122.40735102625806 37.78110603104768),-122.40735102625806,37.78110603104768,restaurant
47,"POLYGON ((-122.4166314 37.7844939, -122.41759650903838 37.78471155405499, -122.41933465000002 37.78546150000001, -122.418945 37.7861199, -122.4184005 37.7869168, -122.4181867 37.7871752, -122.416749 37.786392, -122.4161155 37.7853121, -122.4166314 37.7844939))","restaurant, fast food, cafe, thai, bar",Cluster # 47: Geary Street,POINT (-122.41765485837179 37.78573823139112),-122.41765485837179,37.78573823139112,restaurant
48,"POLYGON ((-122.40402927103418 37.74414867384292, -122.40340904851438 37.74694333755402, -122.40125422152855 37.74523966335805, -122.40188963537373 37.744574686602604, -122.40402927103418 37.74414867384292))","fire station, fuel, burger, fast food, cafe",Cluster # 48: ['Bayshore Boulevard' 'Jerrold Avenue'],POINT (-122.40282661984769 37.7453333734065),-122.40282661984769,37.7453333734065,fire station
49,"POLYGON ((-122.4736283259557 37.739910089330905, -122.478726 37.7427887, -122.47876740000001 37.74312125000001, -122.47607878683522 37.7446914752035, -122.4741519 37.7429955, -122.4736283259557 37.739910089330905))","restaurant, chinese, cafe, bank, fuel",Cluster # 49: Taraval Street,POINT (-122.4758843545471 37.74252235213446),-122.4758843545471,37.74252235213446,restaurant
50,"POLYGON ((-122.43432 37.7608265, -122.4348805 37.7610855, -122.4352312 37.7612906, -122.43542850903134 37.76175120176398, -122.43549680000001 37.7628143, -122.43459020955106 37.76270800929672, -122.4337728 37.7608676, -122.43432 37.7608265))","restaurant, bar, cafe, pizza, bank",Cluster # 50: Castro Street,POINT (-122.43474892408362 37.76179905890654),-122.43474892408362,37.76179905890654,restaurant
51,"POLYGON ((-122.4664457 37.7636352, -122.4668187 37.7638958, -122.4665197 37.7644479, -122.4649356 37.764245, -122.4648756 37.7639809, -122.4664457 37.7636352))","restaurant, cafe, bank, coffee shop, diet:vegetarian",Cluster # 51: Irving Street,POINT (-122.46593665200011 37.76405874583),-122.46593665200011,37.76405874583,restaurant
52,"POLYGON ((-122.388215 37.7600844, -122.39088475 37.76159975, -122.3890865 37.7632279, -122.386768 37.7642182, -122.388215 37.7600844))","restaurant, bar, cafe, bicycle rental, sandwich",Cluster # 52: 3rd Street,POINT (-122.38866063593375 37.76210470570781),-122.38866063593375,37.76210470570781,restaurant
53,"POLYGON ((-122.4189055 37.8060499, -122.4206485 37.8065321, -122.4209414 37.8069596, -122.42024171318452 37.807811672328036, -122.41844965454318 37.808945909667244, -122.4175536 37.8075954, -122.417478 37.8068143, -122.4189055 37.8060499))","restaurant, fast food, seafood, outdoor seating, cafe",Cluster # 53: Jefferson Street,POINT (-122.41905312156533 37.80732183096762),-122.41905312156533,37.80732183096762,restaurant
54,"POLYGON ((-122.41475085099968 37.73863286950168, -122.4176955 37.7390772, -122.4190173 37.7395753, -122.4135896 37.7390432, -122.4140528 37.7388251, -122.41475085099968 37.73863286950168))","restaurant, bar, cafe, italian, pizza",Cluster # 54: Cortland Avenue,POINT (-122.41607606982225 37.73908224839411),-122.41607606982225,37.73908224839411,restaurant
55,"POLYGON ((-122.4677297 37.7102781, -122.47004707804352 37.710829363808706, -122.4728363 37.7118925, -122.47215321890076 37.712121594616875, -122.46599486405059 37.714142714314264, -122.46381950000001 37.7109315, -122.4677297 37.7102781))","place of worship, religion christian, fast food, wheelchair, denomination catholic",Cluster # 55: ['Bright Street' 'Palmetto Avenue'],POINT (-122.4677669814945 37.71195813945899),-122.4677669814945,37.71195813945899,place of worship
56,"POLYGON ((-122.4762258 37.7263814, -122.476799 37.7268274, -122.4771304 37.727145, -122.4771589 37.7277418, -122.4766583 37.7279982, -122.476508 37.7280319, -122.47450667637565 37.726637188843206, -122.4762258 37.7263814))","fast food, cafe, vending machine, outdoor seating, coffee shop",Cluster # 56: 20th Avenue,POINT (-122.47610098521967 37.727119207086105),-122.47610098521967,37.727119207086105,fast food
57,"POLYGON ((-122.4420534 37.7153692, -122.442783 37.7177867, -122.4397567 37.7184272, -122.4396648 37.7155923, -122.4420534 37.7153692))","restaurant, fast food, pizza, pharmacy, fuel",Cluster # 57: Mission Street,POINT (-122.44104668438975 37.71685351126232),-122.44104668438975,37.71685351126232,restaurant
58,"POLYGON ((-122.50121427731808 37.73015193607774, -122.50325683443941 37.73319713599292, -122.5033339637843 37.73402567410794, -122.50294068871432 37.73568997036726, -122.50279465673204 37.73570107227081, -122.49990300999222 37.73314150958443, -122.50121427731808 37.73015193607774))","cafe, restaurant, outdoor seating, fountain, pizza",Cluster # 58: Sloat Boulevard,POINT (-122.50175658986323 37.73306986606041),-122.50175658986323,37.73306986606041,cafe
59,"POLYGON ((-122.4644262 37.7846004, -122.4665365 37.7846049, -122.46718761058952 37.78497888389895, -122.4647477 37.7852761, -122.4622826 37.785181, -122.4644262 37.7846004))","cafe, restaurant, diet:vegetarian, diet:vegan, wheelchair",Cluster # 59: California Street,POINT (-122.46492460832148 37.78493600829591),-122.46492460832148,37.78493600829591,cafe
60,"POLYGON ((-122.4053743 37.7617905, -122.4085307 37.7629624, -122.408874 37.7665033, -122.4065246 37.7676612, -122.4053743 37.7617905))","fast food, bicycle rental, fuel, place of worship, restaurant",Cluster # 60: 17th Street,POINT (-122.40720248716019 37.764666747755136),-122.40720248716019,37.764666747755136,fast food
61,"POLYGON ((-122.4085023 37.709504, -122.40789632907772 37.712472060298765, -122.405833 37.7122222, -122.4038854 37.7114746, -122.4085023 37.709504))","library, post office, wheelchair, religion christian, place of worship",Cluster # 61: Leland Avenue,POINT (-122.40669208259774 37.71122074933792),-122.40669208259774,37.71122074933792,library
62,"POLYGON ((-122.4340404 37.7331124, -122.4343742 37.7333, -122.4341841 37.7339905, -122.4341556 37.734082, -122.4341305 37.7341553, -122.4339087 37.7347631, -122.4336487 37.7345656, -122.43359693373485 37.73397344346166, -122.4340404 37.7331124))","restaurant, italian, chinese, vending machine, fast food",Cluster # 62: Diamond Street,POINT (-122.43395307267812 37.73390978922291),-122.43395307267812,37.73390978922291,restaurant
63,"POLYGON ((-122.4013648 37.7860568, -122.4017549 37.7862681, -122.4023318 37.7866814, -122.401116 37.788086, -122.4003041 37.7882446, -122.400181 37.7881436, -122.3997359 37.7877608, -122.3992391 37.7869374, -122.3993014 37.7866405, -122.40053907024225 37.7860579905342, -122.4013648 37.7860568))","restaurant, wheelchair, cafe, bar, outdoor seating",Cluster # 63: Mission Street,POINT (-122.4007078984113 37.78704765944316),-122.4007078984113,37.78704765944316,restaurant
64,"POLYGON ((-122.48979515454782 37.77958295227725, -122.4934751 37.7798268, -122.4943464 37.7823521, -122.4911706 37.7818472, -122.48979515454782 37.77958295227725))","religion christian, restaurant, place of worship, bar, cafe",Cluster # 64: Clement Street,POINT (-122.49221852017465 37.78086815403757),-122.49221852017465,37.78086815403757,religion christian
65,"POLYGON ((-122.41957517008068 37.74561662026867, -122.4198427 37.7459788, -122.42020255 37.747675699999995, -122.418295 37.7488505, -122.417965 37.7488479, -122.4179361 37.7484306, -122.41957517008068 37.74561662026867))","restaurant, wheelchair, bar, cafe, nightclub",Cluster # 65: Mission Street,POINT (-122.41916798123805 37.74742495882118),-122.41916798123805,37.74742495882118,restaurant
66,"POLYGON ((-122.50584238754045 37.752687539141434, -122.5057507 37.7528042, -122.5047022 37.7531521, -122.5025301 37.752825, -122.50584238754045 37.752687539141434))","cafe, restaurant, outdoor seating, diet:vegetarian, religion christian",Cluster # 66: Noriega Street,POINT (-122.5044241532101 37.75288778728182),-122.5044241532101,37.75288778728182,cafe
67,"POLYGON ((-122.4219929 37.7643855, -122.4224623 37.7647708, -122.4226685 37.765011, -122.4222039 37.7664478, -122.4218982 37.7664568, -122.42131089673222 37.76640006894451, -122.4210768 37.7648614, -122.42160034688521 37.76444993557272, -122.4219929 37.7643855))","restaurant, diet:vegetarian, cafe, fast food, pizza",Cluster # 67: 16th Street,POINT (-122.42183191710724 37.76541984204688),-122.42183191710724,37.76541984204688,restaurant
68,"POLYGON ((-122.397206 37.7920665, -122.397355 37.7933322, -122.3968698 37.7937447, -122.395302 37.7944134, -122.39488810187319 37.79454446152717, -122.3939859 37.7936516, -122.3940659 37.7935991, -122.3941502 37.7935501, -122.397206 37.7920665))","wheelchair, fast food, vending machine, cafe, coffee shop",Cluster # 68: ['California Street' 'Market Street'],POINT (-122.39586756954148 37.79340604198518),-122.39586756954148,37.79340604198518,wheelchair
69,"POLYGON ((-122.411887 37.77352640000001, -122.4138994 37.7744786, -122.41232425691469 37.776358075122324, -122.4107007153929 37.776614271982986, -122.4093427 37.7754205, -122.4085264 37.7745403, -122.40853133377199 37.7740474992178, -122.411887 37.77352640000001))","cafe, social facility, restaurant, bicycle rental, nightclub",Cluster # 69: Folsom Street,POINT (-122.41117466091606 37.77494216859909),-122.41117466091606,37.77494216859909,cafe
70,"POLYGON ((-122.41101453837072 37.75016558084944, -122.4124345 37.7527245, -122.40965203403829 37.75577195181267, -122.4091513 37.7545147, -122.4088957 37.7529247, -122.4091631 37.7513034, -122.41101453837072 37.75016558084944))","wheelchair, restaurant, mexican, religion christian, place of worship",Cluster # 70: 24th Street,POINT (-122.41041561917622 37.752774057886974),-122.41041561917622,37.752774057886974,wheelchair
71,"POLYGON ((-122.431304 37.8028785, -122.4336443 37.8038978, -122.43382 37.8045502, -122.4338261 37.8048071, -122.431304 37.8028785))","cafe, post office, bank, coffee shop, social facility",Cluster # 71: Laguna Street,POINT (-122.4329421989947 37.803872693706715),-122.4329421989947,37.803872693706715,cafe
